Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R2,Test R2
Linear Regression,1741.6597118263473,812961.7515811012,30.70434131736527,190.03125,0.9094039298376744,-14.969593500363482
Polynomial Regression,1741.6597118263473,812961.7515811012,30.70434131736527,190.03125,0.9094039298376744,-14.969593500363482
